Dish,People,Rice_kg,Chicken_kg,Paneer_kg,Lentils_kg,Vegetables_kg,Oil_liter,Spices_kg,Total_Cost
Biryani,5,0.5,1.0,0,0,0,0.1,0.05,650
Biryani,10,1.0,2.0,0,0,0,0.2,0.10,1250
Biryani,15,1.5,3.0,0,0,0,0.3,0.15,1850
Biryani,20,2.0,4.0,0,0,0,0.4,0.20,2450

Paneer Curry,5,0,0,0.75,0,0,0.1,0.05,550
Paneer Curry,10,0,0,1.5,0,0,0.2,0.10,1050
Paneer Curry,15,0,0,2.25,0,0,0.3,0.15,1550
Paneer Curry,20,0,0,3.0,0,0,0.4,0.20,2050

Fried Rice,5,0.6,0,0,0,0.5,0.1,0.04,450
Fried Rice,10,1.2,0,0,0,1.0,0.2,0.08,850
Fried Rice,15,1.8,0,0,0,1.5,0.3,0.12,1250
Fried Rice,20,2.4,0,0,0,2.0,0.4,0.16,1650

Dal Tadka,5,0,0,0,0.4,0,0.1,0.03,300
Dal Tadka,10,0,0,0,0.8,0,0.2,0.06,580
Dal Tadka,15,0,0,0,1.2,0,0.3,0.09,860
Dal Tadka,20,0,0,0,1.6,0,0.4,0.12,1150

Veg Pulao,5,0.5,0,0,0,0.6,0.1,0.04,420
Veg Pulao,10,1.0,0,0,0,1.2,0.2,0.08,820
Veg Pulao,15,1.5,0,0,0,1.8,0.3,0.12,1220
Veg Pulao,20,2.0,0,0,0,2.4,0.4,0.16,1620

Chicken Curry,5,0,1.0,0,0,0,0.1,0.05,600
Chicken Curry,10,0,2.0,0,0,0,0.2,0.10,1150
Chicken Curry,15,0,3.0,0,0,0,0.3,0.15,1700
Chicken Curry,20,0,4.0,0,0,0,0.4,0.20,2250

Rajma Chawal,5,0.5,0,0,0.4,0,0.1,0.04,400
Rajma Chawal,10,1.0,0,0,0.8,0,0.2,0.08,780
Rajma Chawal,15,1.5,0,0,1.2,0,0.3,0.12,1150
Rajma Chawal,20,2.0,0,0,1.6,0,0.4,0.16,1520

Chole Masala,5,0,0,0,0.45,0,0.1,0.04,420
Chole Masala,10,0,0,0,0.9,0,0.2,0.08,800
Chole Masala,15,0,0,0,1.35,0,0.3,0.12,1180
Chole Masala,20,0,0,0,1.8,0,0.4,0.16,1560

